slug,name,school,birth_year,death_year,era,coverage,storage_path,source,license,citation_source,notes
baoshou-yanzhao,Baoshou Yanzhao,linji,,,unknown,placeholder,/masters/baoshou-yanzhao.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
baotang-wuzhu,Baotang Wuzhu,early-chan,,,unknown,portrait,/masters/baotang-wuzhu.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
bassui-tokusho,Bassui Tokusho,rinzai,1327,1387,medieval,portrait,/masters/bassui-tokusho.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
bernie-tetsugen-glassman,Bernie Tetsugen Glassman,white-plum-asanga,1939,2018,modern,portrait,/masters/bernie-tetsugen-glassman.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
bokuo-soun,Bokuo Soun,rinzai,1903,1991,modern,placeholder,/masters/bokuo-soun.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
brad-warner,Brad Warner,soto,,,unknown,portrait,/masters/brad-warner.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
buddhamitra,Buddhamitra,indian-patriarchs,-150,,ancient,portrait,/masters/buddhamitra.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
buddhanandi,Buddhanandi,indian-patriarchs,-150,,ancient,portrait,/masters/buddhanandi.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
butsumon-sogaku,Butsumon Sogaku,soto,1858,1933,modern,placeholder,/masters/butsumon-sogaku.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
caoshan-benji,Caoshan Benji,caodong,840,901,classical,portrait,/masters/caoshan-benji.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
changfu-zhi,Changfu Zhi,qingyuan-line,,,unknown,placeholder,/masters/changfu-zhi.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
changlu-qingliao,Changlu Qingliao,caodong,,,unknown,placeholder,/masters/changlu-qingliao.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
changqing-huileng,Changqing Huileng,qingyuan-line,854,932,classical,placeholder,/masters/changqing-huileng.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
changsha-jingcen,Changsha Jingcen,caodong,,,unknown,placeholder,/masters/changsha-jingcen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
changshui-zixuan,Changshui Zixuan,caodong,,,unknown,placeholder,/masters/changshui-zixuan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
charlotte-joko-beck,Charlotte Joko Beck,white-plum-asanga,1917,2011,modern,placeholder,/masters/charlotte-joko-beck.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
chengtian-chuanzong,Chengtian Chuanzong,yunmen,,,unknown,placeholder,/masters/chengtian-chuanzong.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
chingak-hyesim,Chin'gak Hyesim,jogye,1178,1234,medieval,placeholder,/masters/chingak-hyesim.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
chokoku-koen,Chokoku Koen,soto,,,unknown,placeholder,/masters/chokoku-koen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
chongshou-qichou,Chongshou Qichou,qingyuan-line,,,unknown,placeholder,/masters/chongshou-qichou.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
chozan-ginetsu,Chozan Ginetsu,soto,1581,1672,early-modern,placeholder,/masters/chozan-ginetsu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
chuanzi-decheng,Chuanzi Decheng,qingyuan-line,,,unknown,placeholder,/masters/chuanzi-decheng.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
chuzan-ryoun,Chuzan Ryoun,soto,1350,1432,medieval,placeholder,/masters/chuzan-ryoun.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
cizhou-faru,Cizhou Faru,early-chan,,,unknown,placeholder,/masters/cizhou-faru.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
cuiwei-wuxue,Cuiwei Wuxue,qingyuan-line,,,unknown,placeholder,/masters/cuiwei-wuxue.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
cuiyan-kezhen,Cuiyan Kezhen,linji,,,unknown,placeholder,/masters/cuiyan-kezhen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
cuiyan-lingcan,Cuiyan Lingcan,caodong,,,unknown,placeholder,/masters/cuiyan-lingcan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
d-t-suzuki,D.T. Suzuki,rinzai,1870,1966,modern,portrait,/masters/d-t-suzuki.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
daguang-juhui,Daguang Juhui,qingyuan-line,837,903,classical,placeholder,/masters/daguang-juhui.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
dagui-muzhe,Dagui Muzhe,caodong,,,unknown,placeholder,/masters/dagui-muzhe.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
dahong-zuzheng,Dahong Zuzheng,linji,,,unknown,placeholder,/masters/dahong-zuzheng.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
dahui-zonggao,Dahui Zonggao,linji,,,unknown,portrait,/masters/dahui-zonggao.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
daiki-kyokan,Daiki Kyokan,soto,,,unknown,placeholder,/masters/daiki-kyokan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
dainin-katagiri,Dainin Katagiri,soto,1928,1990,modern,portrait,/masters/dainin-katagiri.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
daisetsu-joen,Daisetsu Joen,rinzai,1797,1855,early-modern,placeholder,/masters/daisetsu-joen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
daishin-kan-yu,Daishin Kan'yu,soto,,,unknown,placeholder,/masters/daishin-kan-yu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
daishitsu-chisen,Daishitsu Chisen,soto,1461,1536,medieval,placeholder,/masters/daishitsu-chisen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
dajian-huineng,Dajian Huineng,early-chan,638,713,classical,portrait,/masters/dajian-huineng.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
daman-hongren,Daman Hongren,early-chan,602,675,classical,portrait,/masters/daman-hongren.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
damei-fachang,Damei Fachang,nanyue-line,,,unknown,placeholder,/masters/damei-fachang.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
danxia-tianran,Danxia Tianran,qingyuan-line,738,824,classical,portrait,/masters/danxia-tianran.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
danxia-zichun,Danxia Zichun,caodong,,,unknown,portrait,/masters/danxia-zichun.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
danyuan-yingzhen,Danyuan Yingzhen,qingyuan-line,,,unknown,placeholder,/masters/danyuan-yingzhen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
daowu-yuanzhi,Daowu Yuanzhi,qingyuan-line,769,835,classical,placeholder,/masters/daowu-yuanzhi.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
dasui-fazhen,Dasui Fazhen,nanyue-line,,,unknown,placeholder,/masters/dasui-fazhen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
dayang-jingxuan,Dayang Jingxuan,caodong,,,unknown,portrait,/masters/dayang-jingxuan.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
dayi-daoxin,Dayi Daoxin,early-chan,580,651,classical,portrait,/masters/dayi-daoxin.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
dayu-shouzhi,Dayu Shouzhi,linji,,,unknown,placeholder,/masters/dayu-shouzhi.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
dazu-huike,Dazu Huike,early-chan,487,593,classical,portrait,/masters/dazu-huike.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
dennis-genpo-merzel,Dennis Genpo Merzel,white-plum-asanga,1944,,modern,portrait,/masters/dennis-genpo-merzel.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
deshan-xuanjian,Deshan Xuanjian,qingyuan-line,782,865,classical,portrait,/masters/deshan-xuanjian.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
deshan-yuanmi,Deshan Yuanmi,caodong,,,unknown,placeholder,/masters/deshan-yuanmi.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
dhritaka,Dhritaka,indian-patriarchs,-250,,ancient,portrait,/masters/dhritaka.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
dingzhou-shizang,Dingzhou Shizang,qingyuan-line,,,unknown,placeholder,/masters/dingzhou-shizang.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
dogen,Dogen,soto,1200,1253,medieval,portrait,/masters/dogen.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
dokutan-sosan,Dokutan Sosan,rinzai,1840,1917,modern,portrait,/masters/dokutan-sosan.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
dongshan-liangjie,Dongshan Liangjie,qingyuan-line,807,869,classical,portrait,/masters/dongshan-liangjie.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
dongshan-shouchu,Dongshan Shouchu,nanyue-line,910,990,classical,placeholder,/masters/dongshan-shouchu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
doushuai-congyue,Doushuai Congyue,linji,,,unknown,placeholder,/masters/doushuai-congyue.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
enjo-gikan,Enjo Gikan,soto,,,unknown,placeholder,/masters/enjo-gikan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
etienne-mokusho-zeisler,Etienne Mokusho Zeisler,soto,,,unknown,placeholder,/masters/etienne-mokusho-zeisler.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
evelyne-eko-de-smedt,Évelyne Ekō de Smedt,soto,,,unknown,placeholder,/masters/evelyne-eko-de-smedt.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
fayan-wenyi,Fayan Wenyi,fayan,885,958,classical,portrait,/masters/fayan-wenyi.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
fengxian-daochen,Fengxian Daochen,yunmen,,,unknown,placeholder,/masters/fengxian-daochen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
fengxue-yanzhao,Fengxue Yanzhao,linji,,,unknown,placeholder,/masters/fengxue-yanzhao.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
fenyang-shanzhao,Fenyang Shanzhao,linji,,,unknown,portrait,/masters/fenyang-shanzhao.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
foyan-qingyuan,Foyan Qingyuan,yangqi-line,,,unknown,portrait,/masters/foyan-qingyuan.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
fuden-gentotsu,Fuden Gentotsu,soto,,,unknown,placeholder,/masters/fuden-gentotsu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
fukushu-kochi,Fukushu Kochi,soto,,,unknown,placeholder,/masters/fukushu-kochi.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
furong-daokai,Furong Daokai,caodong,,,unknown,portrait,/masters/furong-daokai.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
fushan-fayuan,Fushan Fayuan,caodong,,,unknown,placeholder,/masters/fushan-fayuan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
fuzan-shunki,Fuzan Shunki,soto,,,unknown,placeholder,/masters/fuzan-shunki.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
gangoku-gankei,Gangoku Gankei,soto,1683,1767,early-modern,placeholder,/masters/gangoku-gankei.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
gaoan-dayu,Gaoan Dayu,yunmen,,,unknown,placeholder,/masters/gaoan-dayu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
gaofeng-yuanmiao,Gaofeng Yuanmiao,yangqi-line,1238,1295,medieval,portrait,/masters/gaofeng-yuanmiao.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
gasan-jito,Gasan Jito,rinzai,1727,1797,early-modern,portrait,/masters/gasan-jito.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
gasan-joseki,Gasan Joseki,soto,1275,1366,medieval,portrait,/masters/gasan-joseki.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
gayashata,Gayashata,indian-patriarchs,250,,ancient,portrait,/masters/gayashata.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
gerry-shishin-wick,Gerry Shishin Wick,white-plum-asanga,1943,,modern,portrait,/masters/gerry-shishin-wick.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
gessen-zenne,Gessen Zenne,rinzai,1702,1781,early-modern,placeholder,/masters/gessen-zenne.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
gesshu-soko,Gesshu Soko,soto,1618,1696,early-modern,portrait,/masters/gesshu-soko.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
gisan-tonin,Gisan Tonin,soto,1386,1462,medieval,placeholder,/masters/gisan-tonin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
gisan-zenrai,Gisan Zenrai,rinzai,1802,1878,early-modern,placeholder,/masters/gisan-zenrai.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
giten-gensho,Giten Gensho,rinzai,,,unknown,placeholder,/masters/giten-gensho.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
gongai-sochu,Gongai Sochu,rinzai,1315,1390,medieval,portrait,/masters/gongai-sochu.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
guannan-daochang,Guannan Daochang,caodong,,,unknown,placeholder,/masters/guannan-daochang.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
gudo-toshoku,Gudo Toshoku,rinzai,1577,1661,early-modern,portrait,/masters/gudo-toshoku.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
gudo-wafu-nishijima,Gudo Wafu Nishijima,soto,1919,2014,modern,portrait,/masters/gudo-wafu-nishijima.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
guifeng-zongmi,Guifeng Zongmi,early-chan,,,unknown,portrait,/masters/guifeng-zongmi.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
guishan-daan,Guishan Daan,nanyue-line,,,unknown,placeholder,/masters/guishan-daan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
guishan-lingyou,Guishan Lingyou,caodong,,,unknown,portrait,/masters/guishan-lingyou.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
guizong-cezhen,Guizong Cezhen,qingyuan-line,,979,classical,placeholder,/masters/guizong-cezhen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
guizong-zhichang,Guizong Zhichang,nanyue-line,,,unknown,placeholder,/masters/guizong-zhichang.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
gukei-youn,Gukei Youn,soto,,,unknown,placeholder,/masters/gukei-youn.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
gyakushitsu-sojun,Gyakushitsu Sojun,soto,,,unknown,placeholder,/masters/gyakushitsu-sojun.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
gyeongheo-seongu,Gyeongheo Seongu,seon,1846,1912,modern,portrait,/masters/gyeongheo-seongu.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
gyokujun-so-on,Gyokujun So-on,soto,1877,1934,modern,placeholder,/masters/gyokujun-so-on.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
haklena,Haklena,indian-patriarchs,350,,ancient,portrait,/masters/haklena.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
hakuho-genteki,Hakuho Genteki,soto,1594,1670,early-modern,placeholder,/masters/hakuho-genteki.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
hakuin-ekaku,Hakuin Ekaku,rinzai,1686,1769,early-modern,portrait,/masters/hakuin-ekaku.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
hangzhou-tianlong,Hangzhou Tianlong,guiyang,,,unknown,portrait,/masters/hangzhou-tianlong.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
harada-daiun-sogaku,Harada Daiun Sogaku,sanbo-zen,1871,1961,modern,portrait,/masters/harada-daiun-sogaku.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
harada-sodo-kakusho,Harada Sodo Kakusho,soto,1844,1931,modern,portrait,/masters/harada-sodo-kakusho.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
heshan-wuyin,Heshan Wuyin,yunmen,,,unknown,placeholder,/masters/heshan-wuyin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
heze-shenhui,Heze Shenhui,early-chan,,,unknown,portrait,/masters/heze-shenhui.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
hogen-soren,Hogen Soren,soto,,,unknown,placeholder,/masters/hogen-soren.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
hongzhi-zhengjue,Hongzhi Zhengjue,caodong,,,unknown,portrait,/masters/hongzhi-zhengjue.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
huangbo-xiyun,Huangbo Xiyun,linji,,,unknown,portrait,/masters/huangbo-xiyun.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
huanglong-huiji,Huanglong Huiji,linji,,,unknown,placeholder,/masters/huanglong-huiji.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
huanglong-huinan,Huanglong Huinan,linji,1002,1069,medieval,portrait,/masters/huanglong-huinan.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
huguo-jingyuan,Huguo Jingyuan,linji,,,unknown,placeholder,/masters/huguo-jingyuan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
huguo-shoucheng,Huguo Shoucheng,guiyang,,,unknown,placeholder,/masters/huguo-shoucheng.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
huitang-zuxin,Huitang Zuxin,linji,,,unknown,placeholder,/masters/huitang-zuxin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
huoan-shiti,Huoan Shiti,linji,,,unknown,placeholder,/masters/huoan-shiti.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
ian-chisatsu,Ian Chisatsu,rinzai,1514,1587,medieval,placeholder,/masters/ian-chisatsu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
ikkyu-sojun,Ikkyu Sojun,rinzai,1394,1481,medieval,portrait,/masters/ikkyu-sojun.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
inzan-ien,Inzan Ien,rinzai,1751,1814,early-modern,portrait,/masters/inzan-ien.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
iyoku-choyu,Iyoku Choyu,soto,1416,1502,medieval,placeholder,/masters/iyoku-choyu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
jan-chozen-bays,Jan Chozen Bays,white-plum-asanga,1945,,modern,portrait,/masters/jan-chozen-bays.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
jayata,Jayata,indian-patriarchs,350,,ancient,portrait,/masters/jayata.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
jean-pierre-genshu-faure,Jean-Pierre Genshū Faure,soto,1948,,modern,placeholder,/masters/jean-pierre-genshu-faure.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
ji-an-xin,Ji'an Xin,yangqi-line,,,unknown,placeholder,/masters/ji-an-xin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
jianzhi-sengcan,Jianzhi Sengcan,early-chan,,606,classical,portrait,/masters/jianzhi-sengcan.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
jiashan-shanhui,Jiashan Shanhui,qingyuan-line,805,881,classical,placeholder,/masters/jiashan-shanhui.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
jingqing-daofu,Jingqing Daofu,nanyue-line,868,937,classical,placeholder,/masters/jingqing-daofu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
jingzhao-mihu,Jingzhao Mihu,caodong,,,unknown,placeholder,/masters/jingzhao-mihu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
jingzhong-shenhui,Jingzhong Shenhui,early-chan,720,794,classical,placeholder,/masters/jingzhong-shenhui.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
jingzhong-wuxiang,Jingzhong Wuxiang,early-chan,684,762,classical,placeholder,/masters/jingzhong-wuxiang.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
jinhua-juzhi,Jinhua Juzhi,yunmen,,,unknown,placeholder,/masters/jinhua-juzhi.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
jinul,Bojo Jinul,jogye,1158,1210,medieval,portrait,/masters/jinul.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
jissan-mokuin,Jissan Mokuin,soto,,,unknown,placeholder,/masters/jissan-mokuin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
jiufeng-daoqian,Jiufeng Daoqian,qingyuan-line,,,unknown,placeholder,/masters/jiufeng-daoqian.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
jiufeng-qin,Jiufeng Qin,guiyang,,,unknown,placeholder,/masters/jiufeng-qin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
jiyu-kennett,Jiyu-Kennett,soto,1924,1996,modern,portrait,/masters/jiyu-kennett.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
jochu-tengin,Jochu Tengin,soto,1363,1437,medieval,placeholder,/masters/jochu-tengin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
